" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","295.1924324625"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"717","4884","-1108.1898677158","0.0001160107","0.9813136800","2.8092816267","484.6781238064","299.9658549222","184.7122688842","174.7718486611","243.6914865166","-68.9196378555","-74.9647756288","6.0451377732","150.2926417623","115.0115579631","-21.6127132087","-180.4900385652","158.8773253565","5.1014048837","12.6353295478","132.5521264563","0.0037808745","0.0000000000"
"718","9702","-1108.1918998395","0.0001157752","0.9814294552","2.8104931015","484.6793352812","301.5240498853","183.1552853959","176.3300436242","247.6150576568","-71.2850140326","-77.3271316222","6.0421175897","151.1036174412","120.4923990150","-23.9809587994","-179.4767929957","155.4958341963","4.8541084326","11.7066250776","134.5282490094","0.0146349216","0.0000000000"
"719","2120","-1108.1941531984","0.0001155146","0.9815449698","2.8118364683","484.6806786480","300.0444677904","184.6362108576","174.8504615293","247.1297390984","-72.2792775691","-78.3393109977","6.0600334287","149.1203738869","117.9907465758","-19.9813813643","-180.6374527928","160.6560714284","5.1885601986","12.6428616019","131.2887486696","0.0002034167","0.0000000000"
"720","21990","-1108.1978898363","0.0001150837","0.9816600535","2.8140641095","484.6829062893","300.4889214541","184.1939848352","175.2949151930","241.1052496046","-65.8103344116","-71.8276274778","6.0172930662","150.8372971768","112.2169673483","-21.9490149206","-179.6466919868","157.6976770662","4.9827606660","13.0793116963","132.7746444397","0.0005803748","0.0000000000"
"721","9582","-1108.2005002874","0.0001147837","0.9817748372","2.8156203612","484.6844625409","299.2868707380","185.3975918028","174.0928644770","238.4372270231","-64.3443625462","-70.3265015982","5.9821390521","151.1776208588","108.3690787138","-21.1094725494","-180.6707898436","159.5613172941","5.0931552227","12.6922536465","133.3911041626","0.0011078269","0.0000000000"
"722","19045","-1108.2047433035","0.0001142977","0.9818891350","2.8181498858","484.6869920655","300.2766421507","184.4103499148","175.0826358896","245.3121692253","-70.2295333357","-76.2456493473","6.0161160117","150.5940113857","116.5107999653","-21.7926421257","-179.6457191359","157.8530770101","5.0479765532","12.7663115086","132.7781036798","0.0016196440","0.0000000000"
"723","4528","-1108.2072795527","0.0001140082","0.9820031432","2.8196619010","484.6885040808","299.9930871405","184.6954169402","174.7990808794","241.0182303167","-66.2191494372","-72.2655789084","6.0464294711","150.7990157216","111.5007830495","-21.2815684545","-180.1348347496","158.8532662951","5.0486844295","12.9108691853","132.8379440598","0.0015180471","0.0000000000"
"724","4234","-1108.2259698999","0.0001118971","0.9821150403","2.8308043746","484.6996465543","299.8637415015","184.8359050528","174.6697352404","240.3279164842","-65.6581812438","-71.6928301777","6.0346489339","150.3908192476","110.9164652921","-20.9793680555","-180.3925301556","159.4131621001","5.0789290768","13.0133337462","132.2969070450","0.0016493796","0.0000000000"
"725","19826","-1108.2317683650","0.0001112502","0.9822262905","2.8342611988","484.7031033785","302.1547961394","182.5483072391","176.9607898783","256.3746291426","-79.4138392643","-85.6272944652","6.2134552009","148.5080135269","128.5619461197","-20.6953305040","-173.0940276550","152.3986971510","4.7378727573","11.8716705350","131.8963547866","0.0021154480","0.0000000000"
"726","1951","-1108.2348790556","0.0001109047","0.9823371951","2.8361156741","484.7049578538","301.3012809873","183.4036768665","176.1072747262","243.7845458429","-67.6772711166","-73.6939410800","6.0166699634","151.4482609745","113.9712578913","-21.6349730230","-179.5719290462","157.9369560232","5.0502104907","12.7083079944","133.6893244072","0.0004180823","0.0000000000"
"727","24343","-1108.2528124299","0.0001089335","0.9824461286","2.8468068692","484.7156490489","299.7302122824","184.9854367665","174.5362060213","237.8595775087","-63.3233714874","-69.3085966712","5.9852251838","151.2255832745","106.6222368266","-19.9882425924","-178.5940222793","158.6057796869","5.1814403704","12.5987135205","133.4452268493","0.0002025343","0.0000000000"
"728","9209","-1108.2549681884","0.0001086989","0.9825548275","2.8480920504","484.7169342301","300.1232129964","184.5937212337","174.9292067353","241.5977654438","-66.6685587085","-72.7100628441","6.0415041356","150.7129742894","111.3909235432","-20.5061323888","-181.0269961041","160.5208637154","5.1716211657","13.1863078092","132.3515532896","0.0034920248","0.0000000000"
"729","24156","-1108.2689160445","0.0001071933","0.9826620208","2.8564072312","484.7252494110","301.0417455081","183.6835039028","175.8477392471","242.8939486533","-67.0462094062","-73.0937351466","6.0475257403","150.7869402167","113.4509319996","-21.3439235630","-180.4135097334","159.0695861704","5.0766019938","13.1257149954","132.5118060423","0.0728171852","0.0000000000"
"730","25561","-1108.2699523574","0.0001070823","0.9827691031","2.8570250415","484.7258672213","300.4621117110","184.2637555103","175.2681054499","242.7145325899","-67.4464271400","-73.4805543496","6.0341272096","149.8050025487","114.0287601411","-21.1192300999","-180.9752714403","159.8560413404","5.1933809859","12.5976041427","132.0032572857","0.0107601344","0.0000000000"
"731","8196","-1108.2758732752","0.0001064501","0.9828755532","2.8605548673","484.7293970471","299.9423749076","184.7870221395","174.7483686465","240.8265720748","-66.0782034284","-72.0985889618","6.0203855334","150.0002106689","111.7030453789","-20.8766839729","-180.3701261269","159.4934421540","5.0935866686","13.0561549320","131.8491112663","0.0013578019","0.0000000000"
"732","14086","-1108.2763651057","0.0001063978","0.9829819510","2.8608480780","484.7296902577","299.5794247979","185.1502654598","174.3854185368","237.2074322100","-62.8220136732","-68.8198201237","5.9978064505","151.0110508054","105.9104108822","-19.7140294776","-178.9398367203","159.2258072427","5.2096673992","12.6585230065","133.1426179409","0.0002424588","0.0000000000"
"733","12326","-1108.2823080937","0.0001057673","0.9830877184","2.8643910612","484.7332332410","299.9465620350","184.7866712060","174.7525557739","243.2892428078","-68.5366870339","-74.5689158208","6.0322287869","151.0258291134","112.9361810031","-20.6727673087","-182.0166753372","161.3439080285","5.2068628454","12.6074037975","133.2079551713","0.0036072992","0.0000000000"
"734","7260","-1108.2858958996","0.0001053886","0.9831931069","2.8665299745","484.7353721542","298.4435228128","186.2918493415","173.2495165517","237.6841052068","-64.4345886550","-70.4270569357","5.9924682806","150.9784771633","107.4740853743","-20.7684573308","-183.5922110565","162.8237537257","5.2369117844","13.2232801147","132.5173605379","0.0009247263","0.0000000000"
"735","2614","-1108.2939919816","0.0001045388","0.9832976457","2.8713565504","484.7401987301","300.7413480106","183.9988507196","175.5473417495","241.5760894257","-66.0287476762","-72.0459167599","6.0171690837","150.5906704990","113.5665772199","-22.5811582932","-181.9131721866","159.3320138933","5.1625051912","13.9574951899","131.4125304934","0.0581396244","0.0000000000"
"736","1413","-1108.2989241200","0.0001040244","0.9834016701","2.8742969036","484.7431390833","300.6892566142","184.0538824691","175.4952503531","244.5063783686","-69.0111280154","-75.0043591573","5.9932311419","150.9827378528","115.3278322671","-21.8041917513","-181.6071118489","159.8029200976","5.1281308176","13.3214653767","132.5286346598","0.0045069986","0.0000000000"
"737","14794","-1108.3001002404","0.0001039022","0.9835055723","2.8749980618","484.7438402415","299.4019465295","185.3418937120","174.2079402684","238.3559275628","-64.1459968303","-70.1375648313","5.9915680010","151.3345817032","108.8466453630","-21.8252995035","-182.1633515488","160.3380520453","5.1010490718","13.5100568651","132.7224726026","0.0010031638","0.0000000000"
"738","1989","-1108.3008520751","0.0001038241","0.9836093963","2.8754462770","484.7442884567","300.8519275452","183.8923609116","175.6579212841","247.0013450900","-71.3434238060","-77.3916407837","6.0482169777","149.9269498301","119.5314335071","-22.4570382472","-181.5118962824","159.0548580352","5.1579516045","14.1423101267","130.5895226629","0.0371654360","0.0000000000"
"739","16547","-1108.3015716745","0.0001037494","0.9837131457","2.8758752748","484.7447174546","299.3398147904","185.4049026641","174.1458085293","236.8438726078","-62.6980640784","-68.6875342511","5.9894701726","152.4340680183","105.3353477464","-20.9255431569","-183.1041549496","162.1786117927","5.2229043633","13.4049282031","133.8028463931","0.0033890587","0.0000000000"
"740","2552","-1108.3035933275","0.0001035399","0.9838166856","2.8770805073","484.7459226871","301.5783138010","183.1676088861","176.3843075399","244.0594514894","-67.6751439495","-73.6726982620","5.9975543125","150.0281907265","119.0102487180","-24.9789879552","-181.2684414901","156.2894535349","4.9239676004","13.6483036160","131.4466463482","0.0092731619","0.0000000000"
"741","1962","-1108.3087064892","0.0001030118","0.9839196974","2.8801287797","484.7489709594","300.8277600798","183.9212108796","175.6337538187","241.9554141293","-66.3216603106","-72.2852594836","5.9635991730","150.7009498401","112.7620416831","-21.5075773939","-182.8133240678","161.3057466740","5.2289968224","14.2697636604","131.2004871459","0.0017022115","0.0000000000"
"742","21408","-1108.3090283504","0.0001029786","0.9840226760","2.8803206611","484.7491628408","298.8255606331","185.9236022078","173.6315543720","237.0855597129","-63.4540053409","-69.4064370837","5.9524317428","151.4677034347","106.2212175872","-20.6033613091","-182.0102375868","161.4068762778","5.1540486380","12.4460403718","133.8676027232","0.0000117017","0.0000000000"
"743","25455","-1108.3102480686","0.0001028531","0.9841255291","2.8810478107","484.7498899904","299.0920803310","185.6578096594","173.8980740699","241.7649823041","-67.8669082342","-73.8813268573","6.0144186232","150.4705302055","111.9347058418","-20.6402537431","-181.7785689631","161.1383152201","5.2175397765","12.2639379752","132.9854934600","0.0035589937","0.0000000000"
"744","22652","-1108.3106871440","0.0001028080","0.9842283371","2.8813095708","484.7501517505","300.3842396873","184.3659120632","175.1902334262","246.5522591681","-71.3620257420","-77.3594824793","5.9974567374","150.6448186030","117.9351233999","-22.0276828347","-179.9144417243","157.8867588896","5.0355771018","12.5944099153","133.0136592235","0.0011723623","0.0000000000"
"745","4629","-1108.3112214748","0.0001027530","0.9843310901","2.8816281184","484.7504702982","301.6777266111","183.0727436870","176.4837203501","237.9282702484","-61.4445498983","-67.4671785068","6.0226286084","149.5964038502","110.1824212419","-21.8505548438","-179.9836522146","158.1330973708","4.9908708520","13.1416257979","131.4528788116","0.0110283887","0.0000000000"
"746","2181","-1108.3145907836","0.0001024074","0.9844334975","2.8836367721","484.7524789518","300.5669040489","184.1855749029","175.3728977878","244.4493006480","-69.0725429150","-75.1094670138","6.0369240987","150.0233856844","115.9719589640","-21.5460440005","-180.4683773908","158.9223333904","5.0640588461","13.1887848122","131.7678971541","0.0026448720","0.0000000000"
"747","14491","-1108.3280764050","0.0001010357","0.9845345332","2.8916763862","484.7605185660","299.6895127452","185.0710058208","174.4955064841","241.0514110375","-66.5559045533","-72.5729161868","6.0170116334","150.3153173567","111.6860761686","-20.9499824878","-180.9768013763","160.0268188885","5.1079304211","12.6705783956","132.5365644853","0.0002440547","0.0000000000"
"748","2348","-1108.3337893693","0.0001004601","0.9846349933","2.8950822381","484.7639244178","301.1551472125","183.6087772053","175.9611409514","246.2167590461","-70.2556180946","-76.2898458488","6.0342277542","151.3221943528","119.4655225386","-24.5709578453","-182.0266475438","157.4556896984","4.9182197386","12.9730854288","133.4176602179","0.0132289675","0.0000000000"
"749","24659","-1108.3348296405","0.0001003556","0.9847353489","2.8957024082","484.7645445879","300.1767928563","184.5877517316","174.9827865952","243.5375656347","-68.5547790395","-74.5822222212","6.0274431817","151.2245227735","113.2288205044","-20.9157776431","-181.6444513856","160.7286737424","5.1799161928","12.5200429313","133.5211190096","0.0034446397","0.0000000000"
"750","13563","-1108.3388637284","0.0000999516","0.9848353005","2.8981073778","484.7669495575","300.7534643536","184.0134852039","175.5594580925","247.3187162726","-71.7592581801","-77.7981887074","6.0389305273","149.3048700943","119.8542241820","-21.8403780038","-179.3108526255","157.4704746217","4.9877655780","12.7852572117","131.5311394062","0.0007078984","0.0000000000"
"751","8340","-1108.3394071242","0.0000998973","0.9849351978","2.8984313297","484.7672735094","300.3387166180","184.4285568914","175.1447103570","238.1193084585","-62.9745981016","-69.0227779808","6.0481798792","152.0258798490","105.4984216042","-19.4049929947","-179.6072384680","160.2022454734","5.2265311507","13.2312450584","133.5607608699","0.0073427700","0.0000000000"
"752","14513","-1108.3447280619","0.0000993672","0.9850345650","2.9016034702","484.7704456499","299.9125902643","184.8578553856","174.7185840032","237.4321912962","-62.7136072930","-68.7792020049","6.0655947119","151.6346250751","107.0253953968","-21.2278291758","-179.7889332607","158.5611040850","5.0559766044","12.7108798037","133.8668981592","0.0008705079","0.0000000000"
"753","21769","-1108.3492788004","0.0000989160","0.9851334810","2.9043164473","484.7731586270","299.6780183509","185.0951402762","174.4840120898","239.9075411026","-65.4235290128","-71.4707407854","6.0472117726","151.4799884114","107.0381379069","-18.6105852157","-180.7944405329","162.1838553172","5.3506945573","13.2288068528","132.8857179672","0.0147690341","0.0000000000"
"754","1939","-1108.3520017410","0.0000986470","0.9852321280","2.9059397608","484.7747819405","300.7659022230","184.0088797176","175.5718959619","243.5347040333","-67.9628080714","-74.0312792840","6.0684712126","150.8826432762","114.4153903854","-21.7633296283","-181.5634912784","159.8001616500","5.1262333775","13.2820521306","132.4703138605","0.0040439077","0.0000000000"
"755","24202","-1108.3657784335","0.0000972973","0.9853294254","2.9141529004","484.7829950802","300.8717284413","183.9112666389","175.6777221802","242.7776911632","-67.0999689830","-73.1255263089","6.0255573259","150.7185755442","113.2070910042","-21.1479753852","-179.9739643584","158.8259889732","5.0946540314","13.1661629693","132.4541003052","0.0036582383","0.0000000000"
"756","2331","-1108.3663635963","0.0000972404","0.9854266658","2.9145017523","484.7833439320","300.7661454800","184.0171984520","175.5721392189","239.6611645659","-64.0890253470","-70.1125257865","6.0235004395","151.8365883268","109.6226424676","-21.7980662285","-181.9065547059","160.1084884773","5.1184152648","13.4311878436","133.2829123450","0.0040728734","0.0000000000"
"757","4940","-1108.3750613223","0.0000963983","0.9855230641","2.9196870054","484.7885291851","300.5976200851","184.1909091000","175.4036138240","244.6593661704","-69.2557523464","-75.2450726860","5.9893203396","149.2449393867","117.8371163404","-22.4226895568","-181.5586933612","159.1360038044","5.1748945777","13.5158850518","130.5220719815","0.0320877756","0.0000000000"
"758","19400","-1108.3754567602","0.0000963602","0.9856194243","2.9199227504","484.7887649302","300.3092663742","184.4794985560","175.1152601131","241.7285829601","-66.6133228470","-72.6156368983","6.0023140512","150.8022825663","112.5112020956","-21.5849017017","-179.8441219258","158.2592202240","5.0339117082","12.8463889141","132.9209100688","0.0010718751","0.0000000000"
"759","7415","-1108.3756922589","0.0000963375","0.9857157618","2.9200631458","484.7889053255","299.7594190366","185.0294862889","174.5654127755","237.0184911735","-62.4530783980","-68.5280653124","6.0749869144","151.4264163093","106.5053112515","-20.9132363873","-180.1009460875","159.1877097002","5.0852506829","12.7616018213","133.5786639284","0.0008998766","0.0000000000"
"760","22646","-1108.3802703109","0.0000958975","0.9858116592","2.9227924061","484.7916345859","298.6968707421","186.0947638438","173.5028644810","236.6333476984","-63.1304832174","-69.1147212850","5.9842380676","151.2555400589","105.7131301235","-20.3353224840","-182.3552875427","162.0199650586","5.1832395563","12.5123610346","133.5599190157","0.0000204524","0.0000000000"
"761","17262","-1108.3839837415","0.0000955420","0.9859072013","2.9250062121","484.7938483918","300.1680451924","184.6258031994","174.9740389313","240.8471161408","-65.8795720680","-71.8641397236","5.9845676556","150.8252994617","111.2406036695","-21.2187869904","-180.3193349225","159.1005479321","5.0645971223","12.8855731553","132.8741361933","0.0009929908","0.0000000000"
"762","19384","-1108.3854467069","0.0000954023","0.9860026036","2.9258783764","484.7947205561","300.2610190601","184.5337014960","175.0670127990","240.4351727132","-65.3681599142","-71.4069822091","6.0388222949","152.1160684802","107.6146203918","-19.2955161588","-179.7668182638","160.4713021050","5.2310093198","12.9053822607","133.9681346203","0.0115422793","0.0000000000"
"763","19230","-1108.3925790540","0.0000947243","0.9860973279","2.9301304103","484.7989725900","301.9152249315","182.8837476584","176.7212186705","240.3341856416","-63.6129669711","-69.6275542237","6.0145872526","150.1364186077","114.7602354979","-24.5624684640","-180.2757924276","155.7133239636","4.8819781874","13.1392277995","132.0972559441","0.0179566767","0.0000000000"
"764","23876","-1108.3991448764","0.0000941044","0.9861914323","2.9340447036","484.8028868834","301.1205427671","183.6823441162","175.9265365060","241.3728019462","-65.4462654401","-71.4529935631","6.0067281230","150.7279406844","113.8779785788","-23.2331173170","-181.0265354284","157.7934181114","5.1059190100","13.9092118466","131.6627579208","0.0500519070","0.0000000000"
"765","16504","-1108.4015740806","0.0000938761","0.9862853084","2.9354929027","484.8043350824","300.6603544430","184.1439806395","175.4663481819","241.1227982783","-65.6564500965","-71.6825487097","6.0260986133","150.9485776634","112.3193986319","-22.1451780170","-180.9744732854","158.8292952684","5.0308334348","13.5181202461","132.3951948739","0.0044291087","0.0000000000"
"766","24051","-1108.4047584513","0.0000935776","0.9863788861","2.9373913033","484.8062334830","299.8628390055","184.9433944776","174.6688327444","237.3546305949","-62.6857978505","-68.7306002019","6.0448023514","150.9224140927","107.0471693512","-20.6149528490","-179.8914612878","159.2765084388","5.1311849464","12.8773677014","132.9124786964","0.0013827485","0.0000000000"
"767","24670","-1108.4076983003","0.0000933029","0.9864721890","2.9391439293","484.8079861091","300.4046038919","184.4033822171","175.2105976309","240.4147253289","-65.2041276981","-71.2592293669","6.0551016689","150.4443045326","110.3705110564","-20.4000902601","-180.2322442467","159.8321539866","5.1716933767","13.1055392628","132.1654650213","0.0016068718","0.0000000000"
"768","12179","-1108.4122317321","0.0000928809","0.9865650699","2.9418465889","484.8106887686","301.6568141874","183.1538745812","176.4628079263","240.4032559782","-63.9404480519","-70.2122239877","6.2717759358","150.2573059759","104.4895135893","-14.3435635870","-170.8139937718","156.4704301848","5.1092333209","11.7652218862","133.3518405615","0.0310102072","0.0000000000"
"769","19024","-1108.4123781270","0.0000928673","0.9866579373","2.9419338639","484.8107760436","300.5218058142","184.2889702294","175.3277995531","242.8614656969","-67.5336661438","-73.4959951181","5.9623289743","151.5108707124","115.7010034376","-24.3504084530","-182.3038015916","157.9533931386","4.8958285376","12.4485806886","134.1512148599","0.0152466263","0.0000000000"
"770","11027","-1108.4135398490","0.0000927595","0.9867506967","2.9426264384","484.8114686181","299.9278014688","184.8836671493","174.7337952077","243.4370255797","-68.7032303720","-74.7527362614","6.0495058893","150.0930984616","114.6766403076","-21.3327131895","-180.8070629642","159.4743497747","5.1322199056","12.7046730398","132.2521757532","0.0040297631","0.0000000000"
"771","1873","-1108.4203658482","0.0000921285","0.9868428252","2.9466958392","484.8155380190","300.5159874759","184.2995505431","175.3219812148","243.3991908505","-68.0772096358","-74.0975342354","6.0203245996","151.4417131444","113.3246052441","-21.3671275379","-180.0640271352","158.6968995973","5.1027302327","12.9353901322","133.4012272677","0.0023655117","0.0000000000"
"772","14042","-1108.4215778355","0.0000920169","0.9869348421","2.9474183799","484.8162605596","299.4294444309","185.3868161287","174.2354381699","239.0503644964","-64.8149263265","-70.8218959676","6.0069696411","149.9816554022","108.7062091316","-19.6375000374","-179.8627676061","160.2252675687","5.2406567757","12.6238071626","132.1170586911","0.0001327728","0.0000000000"
"773","8411","-1108.4269978364","0.0000915195","0.9870263616","2.9506495781","484.8194917578","299.7115005848","185.1079911730","174.5174943237","240.1852108663","-65.6677165425","-71.7086288852","6.0409123426","150.4305325135","109.5232242932","-19.7685459405","-181.2812071693","161.5126612288","5.2439615736","12.9107545977","132.2756048919","0.0002114503","0.0000000000"
"774","20701","-1108.4272958615","0.0000914922","0.9871178538","2.9508272493","484.8196694291","301.2326721313","183.5869972978","176.0386658702","248.4358552360","-72.3971893658","-78.4519411630","6.0547517972","149.7965721732","121.7041403631","-23.0648573003","-180.7671260038","157.7022687035","4.9619739537","12.0771980359","132.7401068327","0.0172933509","0.0000000000"
"775","23902","-1108.4278769469","0.0000914391","0.9872092929","2.9511736704","484.8200158501","300.3020555223","184.5179603278","175.1080492612","241.6451526720","-66.5371034109","-72.5816733840","6.0445699732","150.6657694442","111.6021249997","-20.6227417719","-181.2733946834","160.6506529115","5.1711730750","13.2280899002","132.2628889470","0.0036175220","0.0000000000"
"776","2967","-1108.4315199169","0.0000911066","0.9873003995","2.9533454704","484.8221876501","299.7798544008","185.0423332493","174.5858481397","243.2390873607","-68.6532392209","-74.6619729771","6.0087337562","149.7743133037","113.5646188274","-20.0998447705","-180.4612915814","160.3614468109","5.1695265926","12.2700493905","132.3346128343","0.0001244865","0.0000000000"
"777","16594","-1108.4477067935","0.0000896437","0.9873900432","2.9629954700","484.8318376498","299.9386320698","184.8932055800","174.7446258087","244.2688403705","-69.5242145618","-75.4747899563","5.9505753945","149.9009306042","115.8011273664","-21.4332176001","-182.2340741209","160.8008565208","5.3266979303","14.7212756216","129.8512881206","0.0016689317","0.0000000000"
"778","25432","-1108.4489299795","0.0000895341","0.9874795773","2.9637246870","484.8325668667","301.1365901726","183.6959766941","175.9425839115","244.4440352628","-68.5014513513","-74.5296013336","6.0281499823","150.0616354407","117.5048077552","-23.1224079331","-180.7519229614","157.6295150283","4.9034031094","12.5670553151","132.5748864236","0.0162905925","0.0000000000"
"779","21497","-1108.4560075744","0.0000889027","0.9875684800","2.9679440796","484.8367862594","300.3481854590","184.4886008003","175.1541791979","245.6442680194","-70.4900888215","-76.5127291100","6.0226402885","150.6022608321","116.8680026453","-21.8259954580","-179.6894472282","157.8634517702","5.0608129148","12.8040583330","132.7354769391","0.0019126453","0.0000000000"
"780","18971","-1108.4594017990","0.0000886014","0.9876570815","2.9699675871","484.8388097669","300.8961245680","183.9426851989","175.7021183069","237.9396005019","-62.2374821950","-68.2122772203","5.9747950253","151.8195627887","107.7958510571","-21.6758133439","-180.9296097585","159.2537964146","5.0612803460","12.6095109944","134.1120131989","0.0367582493","0.0000000000"
"781","2611","-1108.4707644439","0.0000876004","0.9877446819","2.9767415635","484.8455837432","301.2371706519","183.6084130914","176.0431643908","250.5150612131","-74.4718968223","-80.5365202230","6.0646234007","149.0640035290","125.4642518090","-24.0131941249","-181.1786409797","157.1654468548","4.9294988389","13.2109549794","130.9168326631","0.0067170476","0.0000000000"
"782","4955","-1108.4742983445","0.0000872914","0.9878319732","2.9788483405","484.8476905202","301.8397882256","183.0079022947","176.6457819645","248.3026125435","-71.6568024540","-77.6943276614","6.0375252073","149.2956815020","123.2583113736","-24.2513803321","-179.8205015212","155.5691211891","4.8305265240","12.8888224120","131.5532287586","0.0231038074","0.0000000000"
"783","6756","-1108.4747495574","0.0000872520","0.9879192252","2.9791173365","484.8479595162","300.5205761666","184.3273833496","175.3265699055","246.1517647611","-70.8251948556","-76.8209740198","5.9957791643","150.8330261748","117.3999524030","-22.0812138167","-179.3720011004","157.2907872837","5.0356118863","12.7353228526","133.0604324466","0.0016589893","0.0000000000"
"784","22169","-1108.4766589801","0.0000870855","0.9880063108","2.9802556616","484.8490978414","301.1725294854","183.6765683560","175.9785232243","240.7392548890","-64.7607316647","-70.7748187891","6.0140871244","150.6293222609","112.4581167631","-22.3481841351","-178.9110625121","156.5628783770","4.9397368566","13.2630636792","132.4249211195","0.0016006057","0.0000000000"
"785","11131","-1108.4773806725","0.0000870227","0.9880933335","2.9806859071","484.8495280869","299.3112516646","185.5382764223","174.1172454035","240.3679303210","-66.2506849175","-72.2637491919","6.0130642745","150.4981544688","109.9336227352","-20.0638468830","-181.6175374495","161.5536905665","5.1977779549","12.7309048327","132.5694199856","0.0000516956","0.0000000000"
"786","12341","-1108.4776321301","0.0000870008","0.9881803343","2.9808358166","484.8496779964","300.5976851680","184.2519928284","175.4036789069","241.6638983113","-66.2602194044","-72.2956521656","6.0354327613","150.7604328089","112.3342504498","-21.4307849475","-179.5889826102","158.1581976627","5.0331668892","12.8293681972","132.8970647911","0.0008329314","0.0000000000"
"787","17127","-1108.4795349637","0.0000868354","0.9882671698","2.9819702136","484.8508123933","301.0327046822","183.8181077111","175.8386984211","240.5730909314","-64.7343925103","-70.7557450920","6.0213525817","150.8333399353","112.0134343331","-22.2736833370","-179.0698665791","156.7961832421","4.9523063862","13.2647095702","132.6151546535","0.0011693254","0.0000000000"
"788","14085","-1108.4808744879","0.0000867192","0.9883538890","2.9827687869","484.8516109667","300.6623119188","184.1892990479","175.4683056577","242.8140372125","-67.3485236363","-73.3632792701","6.0147556338","151.2353364452","113.1799120460","-21.6012112786","-179.2404604486","157.6392491700","5.0231176119","12.8532993100","133.3579592674","0.0009602559","0.0000000000"
"789","24567","-1108.4945803853","0.0000855388","0.9884394277","2.9909397212","484.8597819009","299.6843706371","185.1754112638","174.4903643761","243.1441132166","-68.6537488405","-74.6849834482","6.0312346077","151.3481161935","112.8286074564","-21.0326104334","-180.8210555734","159.7884451401","5.1605148568","12.1141807797","134.0708427189","0.0025778381","0.0000000000"
"790","19334","-1108.4960749483","0.0000854110","0.9885248387","2.9918307228","484.8606729025","300.7626278085","184.0980450941","175.5686215474","241.6704746717","-66.1018531244","-72.1694912105","6.0676380862","151.0157606654","114.3242838634","-23.6695698570","-181.3703633391","157.7007934820","4.9682159242","13.1193569237","132.9202446975","0.0079431200","0.0000000000"
"791","3484","-1108.4989596067","0.0000851650","0.9886100037","2.9935504463","484.8623926260","299.4919095315","185.3704830945","174.2979032704","238.0947263151","-63.7968230447","-69.8223282771","6.0255052324","151.4016096675","107.3623888310","-20.6692721833","-180.5634488111","159.8941766277","5.1097383179","12.7583014865","133.5325809473","0.0009889158","0.0000000000"
"792","2597","-1108.5041946855","0.0000847203","0.9886947240","2.9966714010","484.8655135808","300.7849189880","184.0805945928","175.5909127269","246.5667217765","-70.9758090496","-77.0167359239","6.0409268744","149.9030013947","120.5402971219","-23.8765767401","-182.2355742388","158.3589974987","5.0191622314","13.1828412954","131.6943495203","0.0066483476","0.0000000000"
"793","22301","-1108.5067569384","0.0000845035","0.9887792275","2.9981989187","484.8670410984","299.6961801885","185.1708609099","174.5021739274","236.3751124361","-61.8683031016","-67.8772009960","6.0088978943","150.4607956233","108.0685851226","-22.1542683099","-183.4121388745","161.2578705646","5.0979282556","12.8202165514","132.5299545914","0.0126962249","0.0000000000"
"794","4249","-1108.5124328066","0.0000840252","0.9888632527","3.0015826553","484.8704248350","299.6042896629","185.2661351721","174.4102834018","236.5634602828","-62.1531768811","-68.2246611052","6.0714842241","150.8070023101","105.0344281578","-19.2779701851","-179.9096462820","160.6316760969","5.2472605267","12.7561647472","132.8035476188","0.0000294174","0.0000000000"
"795","5799","-1108.5162348825","0.0000837064","0.9889469591","3.0038493082","484.8726914879","301.9290593501","182.9436321377","176.7350530891","248.3012712857","-71.5662181966","-77.6350120696","6.0687938730","150.0602054392","122.3592759910","-24.1182101445","-180.0849902251","155.9667800806","4.8765660695","12.4765341420","132.6829788961","0.0241263316","0.0000000000"
