" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.1615549226"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"585","11094","-1252.6121095811","0.0001685730","0.9685478395","3.3666241434","569.0070891229","367.4647198369","201.5423692859","233.3282845572","320.6446062351","-87.3163216779","-93.5873964016","6.2710747237","146.7860650013","200.2434873381","-26.3849461043","-177.8515213741","151.4665752698","4.4319189587","10.5077032742","131.8464427684","0.0000000000","0.0000000000"
"586","2729","-1252.6137506111","0.0001682966","0.9687161361","3.3676024631","569.0080674425","365.3038653878","203.7042020548","231.1674301080","315.9106706294","-84.7432405213","-90.9252321957","6.1819916744","145.8608415373","196.8835013915","-26.8336722995","-181.1278959578","154.2942236584","4.5051670107","10.4862247972","130.8694497294","0.0000000000","0.0000000000"
"587","6331","-1252.6196495567","0.0001673068","0.9688834429","3.3711191899","569.0115841694","366.6776837567","202.3339004126","232.5412484770","321.0594860349","-88.5182375580","-94.7649782793","6.2467407214","145.9483579186","203.7898600109","-28.6787318946","-179.5424080210","150.8636761264","4.2576081527","9.8112094319","131.8795403340","0.0000000000","0.0000000000"
"588","20723","-1252.6257641342","0.0001662869","0.9690497298","3.3747644683","569.0152294477","366.5135429083","202.5016865394","232.3771076285","323.2701091506","-90.8930015221","-97.0987674216","6.2057658995","145.2895657479","206.4387245301","-28.4581811274","-179.4486736350","150.9904925076","4.2750488613","9.8824490281","131.1320678585","0.0000000000","0.0000000000"
"589","7978","-1252.6292653290","0.0001657057","0.9692154355","3.3768517473","569.0173167267","366.7322147662","202.2851019606","232.5957794864","317.6981370454","-85.1023575589","-91.5434705137","6.4411129547","146.7558220203","193.8871516568","-22.9448366317","-175.1344707904","152.1896341586","4.5928888940","10.4445817576","131.7183513688","0.0000000000","0.0000000000"
"590","18104","-1252.6353216644","0.0001647052","0.9693801407","3.3804623040","569.0209272834","365.6207846376","203.4001426458","231.4843493578","316.5759761146","-85.0755304387","-91.2545801607","6.1790497220","148.5261079292","195.2832159403","-27.2333477548","-180.7429888238","153.5096410690","4.4742210783","9.8674649643","134.1844218866","0.0000000000","0.0000000000"
"591","22605","-1252.6355555866","0.0001646667","0.9695448074","3.3806017594","569.0210667389","367.6568457201","201.3642210188","233.5204104404","320.2668898267","-86.7464793863","-93.0106073062","6.2641279199","147.5489468912","198.5404312987","-25.8224883632","-176.7860295276","150.9635411644","4.4268160001","10.9581492819","132.1639816092","0.0000000000","0.0000000000"
"592","21506","-1252.6358298849","0.0001646215","0.9697094289","3.3807652856","569.0212302651","364.2350290130","204.7862012521","230.0985937332","299.0187279809","-68.9201342477","-74.9840509940","6.0639167463","148.8665583673","174.2381384214","-24.0859688078","-179.7171575518","155.6311887440","4.5469819461","10.9414791660","133.3780972552","0.0000000000","0.0000000000"
"593","13110","-1252.6381531281","0.0001642395","0.9698736683","3.3821503148","569.0226152943","365.9317384327","203.0908768616","231.7953031529","303.5655239748","-71.7702208219","-77.8357040756","6.0654832537","148.6080525789","181.4139698345","-26.4564984386","-179.0932038922","152.6367054537","4.4604671103","9.7941508913","134.3534345773","0.0000000000","0.0000000000"
"594","29269","-1252.6494569573","0.0001623934","0.9700360617","3.3888892275","569.0293542070","363.3322646379","205.6970895691","229.1958293582","297.5269890153","-68.3311596571","-74.3526487073","6.0214890502","147.6992341700","176.3016706450","-26.4739157997","-183.8670619570","157.3931461573","4.3771044875","10.3732422540","132.9488874284","0.0000000000","0.0000000000"
"595","21613","-1252.6551738550","0.0001614677","0.9701975294","3.3922974243","569.0327624037","364.1551894679","204.8775729358","230.0187541882","300.4039083835","-70.3851541954","-76.4497285241","6.0645743287","148.9184820059","176.4621240495","-24.9766976719","-181.7813239588","156.8046262869","4.6768818014","10.6404944273","133.6011057772","0.0000000000","0.0000000000"
"596","22668","-1252.6581509700","0.0001609877","0.9703585171","3.3940722669","569.0345372464","366.8582746528","202.1762625936","232.7218393730","319.4761307092","-86.7542913362","-92.9627572298","6.2084658935","146.4448437885","199.2790545812","-26.2477676605","-178.5777404274","152.3299727669","4.4388398710","10.3126441134","131.6933598041","0.0000000000","0.0000000000"
"597","16192","-1252.6630786652","0.0001601963","0.9705187134","3.3970099712","569.0374749507","366.4332669664","202.6042079843","232.2968316866","319.4095502295","-87.1127185429","-93.3176755679","6.2049570251","147.4930518259","200.1361420484","-28.2196436448","-180.1255299455","151.9058863007","4.3431864478","10.4771941958","132.6726711823","0.0000000000","0.0000000000"
"598","20594","-1252.6669078705","0.0001595841","0.9706782975","3.3992927977","569.0397577771","367.9868091212","201.0529486559","233.8503738415","323.9195159815","-90.0691421401","-96.3500386788","6.2808965387","144.5818525496","205.3072736257","-25.9696101938","-176.2201147268","150.2505045331","4.4169596709","11.1677171853","128.9971756934","0.0000000000","0.0000000000"
"599","30613","-1252.6686106537","0.0001593126","0.9708376100","3.4003079322","569.0407729116","363.3987554799","205.6420174317","229.2623202002","293.6489410485","-64.3866208483","-70.3731244845","5.9865036361","147.7379701735","172.7797208829","-26.8687500079","-182.9957629912","156.1270129833","4.3312675330","10.3920823774","133.0146202631","0.0000000000","0.0000000000"
"600","2936","-1252.6774647693","0.0001579082","0.9709955182","3.4055864189","569.0460513983","365.8460293507","203.2000220476","231.7095940710","316.7277153836","-85.0181213126","-91.2233920198","6.2052707072","145.5427204022","197.9241286282","-26.7391336469","-180.5833742609","153.8442406140","4.4924447625","10.6213416244","130.4289340154","0.0000000000","0.0000000000"
"601","20380","-1252.6800011915","0.0001575082","0.9711530264","3.4070985373","569.0475635167","367.7853767492","201.2621867675","233.6489414695","328.8642336458","-95.2152921763","-101.5299591241","6.3146669478","145.8276390148","208.3044369171","-25.2678422860","-176.3244871742","151.0566448882","4.4752396691","10.2800102291","131.0723891166","0.0000000000","0.0000000000"
"602","25640","-1252.6908030482","0.0001558160","0.9713088424","3.4135381930","569.0540031725","363.4980978136","205.5559053589","229.3616625339","296.9077817983","-67.5461192644","-73.5467499112","6.0006306468","148.8104314176","175.2848107216","-27.1874603409","-185.0167658733","157.8293055324","4.5649059834","10.6164942027","133.6290312315","0.0000000000","0.0000000000"
"603","28382","-1252.6936978924","0.0001553656","0.9714642080","3.4152639890","569.0557289684","363.0678536947","205.9878752737","228.9314184150","298.1126956434","-69.1812772284","-75.1616478803","5.9803706519","146.0699449173","178.7498925082","-26.7071417822","-183.2008275607","156.4936857785","4.3694004724","9.7257679114","131.9747765335","0.0000000000","0.0000000000"
"604","5249","-1252.7045073010","0.0001536952","0.9716179032","3.4217081469","569.0621731264","366.3680340209","202.6941391054","232.2315987412","319.2275442135","-86.9959454724","-93.2744301874","6.2784847151","146.4866480630","200.7532550824","-28.0123589319","-179.7531957166","151.7408367847","4.3201120309","9.9405433590","132.2259926732","0.0000000000","0.0000000000"
"605","16144","-1252.7099897615","0.0001528549","0.9717707581","3.4249765811","569.0654415606","367.6243450052","201.4410965554","233.4879097254","322.2436899924","-88.7557802670","-95.0357826254","6.2800023584","146.7678464966","201.8471110991","-26.3712676032","-177.6579577898","151.2866901866","4.4256423758","10.5158992859","131.8263048348","0.0000000000","0.0000000000"
"606","14895","-1252.7129193296","0.0001524077","0.9719231658","3.4267230781","569.0671880576","367.4611130564","201.6060750012","233.3246777766","318.6011931675","-85.2765153908","-91.4964108628","6.2198954720","147.8811162822","196.4328003577","-25.7127234724","-178.8780913421","153.1653678697","4.5145568536","11.3216797089","132.0448797197","0.0000000000","0.0000000000"
"607","25900","-1252.7139929113","0.0001522442","0.9720754100","3.4273631066","569.0678280861","367.1970887798","201.8707393063","233.0606535001","319.1491105579","-86.0884570579","-92.3128612622","6.2244042043","147.2749418495","199.3197457729","-27.4455770645","-179.2739966506","151.8284195861","4.3283767992","9.9989429544","132.9476220960","0.0000000000","0.0000000000"
"608","2154","-1252.7249015476","0.0001505925","0.9722260025","3.4338664204","569.0743313999","367.3724339125","201.7018974873","233.2359986328","320.0842158603","-86.8482172275","-93.1358078822","6.2875906547","146.3589098806","199.1136580634","-25.3883520837","-176.1915629812","150.8032108975","4.4376830532","10.2199015347","131.7013252927","0.0000000000","0.0000000000"
"609","9231","-1252.7265966335","0.0001503374","0.9723763399","3.4348769661","569.0753419455","366.4399900232","202.6353519223","232.3035547435","318.3822291031","-86.0786743596","-92.3158272458","6.2371528862","146.0558223772","200.4828177690","-28.1564110431","-180.1332646524","151.9768536093","4.3505407705","10.0368016389","131.6684799678","0.0000000000","0.0000000000"
"610","2860","-1252.7344494017","0.0001491615","0.9725255013","3.4395584876","569.0800234670","368.4587483036","200.6212751635","234.3223130238","319.6907667623","-85.3684537385","-91.8897171328","6.5212633943","145.3673897358","196.3046451739","-21.9812681473","-169.9195073490","147.9382392016","4.3894265945","9.7585904648","131.2193726765","0.0000000000","0.0000000000"
"611","31286","-1252.7352541203","0.0001490415","0.9726745428","3.4400382302","569.0805032096","365.5980420882","203.4824611214","231.4616068085","302.0711704887","-70.6095636802","-76.6575063364","6.0479426562","149.4900299317","179.3595284950","-26.7783879381","-180.5585492035","153.7801612654","4.3650777371","10.3804871857","134.7444650090","0.0000000000","0.0000000000"
"612","29954","-1252.7380733302","0.0001486219","0.9728231647","3.4417189358","569.0821839152","364.6064249554","204.4757589598","230.4699896757","295.8676655467","-65.3976758710","-71.4512839405","6.0536080695","148.4079847849","172.5714057796","-25.1117250178","-180.5568554132","155.4451303954","4.3884688299","9.9703518927","134.0491640623","0.0000000000","0.0000000000"
"613","5447","-1252.7395530410","0.0001484021","0.9729715668","3.4426010830","569.0830660625","364.1249951207","204.9580709418","229.9885598409","301.8741644477","-71.8856046068","-77.9618973062","6.0762926994","148.0436692279","179.0365382184","-25.2060429986","-180.7013267632","155.4952837647","4.3816053199","9.8744016868","133.7876622212","0.0000000000","0.0000000000"
"614","12651","-1252.7414952627","0.0001481142","0.9731196810","3.4437589617","569.0842239412","367.2701284293","201.8140955119","233.1336931495","320.5232567044","-87.3895635549","-93.6316984739","6.2421349191","146.7706592838","199.9071966803","-26.1545992597","-177.9905795556","151.8359802959","4.4488386611","10.6095736634","131.7122469593","0.0000000000","0.0000000000"
"615","28351","-1252.7423207156","0.0001479920","0.9732676730","3.4442510653","569.0847160448","364.2081837706","204.8765322741","230.0717484909","296.2861909176","-66.2144424267","-72.1820112002","5.9675687735","146.4881026041","176.7342378256","-26.9361495122","-181.4017637582","154.4656142460","4.3352173274","10.2446024619","131.9082828148","0.0000000000","0.0000000000"
"616","6268","-1252.7470066487","0.0001473001","0.9734149731","3.4470446402","569.0875096197","366.4005128940","202.6869967257","232.2640776143","316.9132770488","-84.6491994346","-90.8582073045","6.2090078699","147.3779338844","197.1763647648","-27.6410216004","-179.7900183952","152.1489967948","4.4490008498","9.8344976492","133.0944353854","0.0000000000","0.0000000000"
"617","29081","-1252.7582154117","0.0001456583","0.9735606314","3.4537268781","569.0941918575","362.7645402588","206.3296515987","228.6281049791","291.1960269894","-62.5679220103","-68.4730197341","5.9050977239","149.2784181206","168.7078912441","-26.7902823753","-184.3248621940","157.5345798187","4.4890118070","10.5495917711","134.2398145424","0.0000000000","0.0000000000"
"618","28501","-1252.7619272374","0.0001451186","0.9737057500","3.4559397272","569.0964047067","364.8532427552","204.2431619515","230.7168074755","298.2223133052","-67.5055058297","-73.4566745864","5.9511687567","149.5311416155","176.1966266951","-27.5054550054","-181.0382235949","153.5327685895","4.1907992469","9.7341967587","135.6061456099","0.0000000000","0.0000000000"
"619","7411","-1252.7645278354","0.0001447417","0.9738504917","3.4574901048","569.0979550843","364.9105249656","204.1874301186","230.7740896859","312.0030526497","-81.2289629638","-87.3610005912","6.1320376274","146.9450959018","192.2540060505","-27.1960493025","-181.8070247105","154.6109754080","4.3389095740","10.0289476069","132.5772387209","0.0000000000","0.0000000000"
"620","25250","-1252.7704669818","0.0001438846","0.9739943763","3.4610307978","569.1014957772","365.2422690766","203.8592267006","231.1058337969","307.2143776914","-76.1085438945","-82.2114776963","6.1029338018","146.3812352872","185.7780336437","-24.9448912395","-178.9555667468","154.0106755073","4.4687719688","10.1042194336","131.8082438848","0.0000000000","0.0000000000"
"621","15570","-1252.7714302166","0.0001437461","0.9741381224","3.4616050417","569.1020700212","368.6051204247","200.4969495965","234.4686851449","322.0550334959","-87.5863483510","-93.8171277346","6.2307793836","146.1866195425","202.6876337386","-26.8192197852","-176.8318227880","150.0126030029","4.3782669510","9.5247635223","132.2835890693","0.0000000000","0.0000000000"
"622","2849","-1252.7720446821","0.0001436578","0.9742817802","3.4619713626","569.1024363421","364.2947712943","204.8076650478","230.1583360146","303.0012935890","-72.8429575745","-78.9412147018","6.0982571274","147.4505535682","180.8500171979","-25.2992771771","-179.6794123260","154.3801351489","4.4436821227","10.8165292144","132.1903422311","0.0000000000","0.0000000000"
"623","20067","-1252.7858265544","0.0001416915","0.9744234717","3.4701875903","569.1106525698","366.9073290519","202.2033235179","232.7708937722","319.4591454127","-86.6882516406","-92.9145286728","6.2262770322","145.3449628140","203.1058933300","-28.9917107313","-179.2066590643","150.2149483330","4.2639696470","10.4785144174","130.6024787496","0.0000000000","0.0000000000"
"624","25214","-1252.7934413503","0.0001406166","0.9745640884","3.4747272418","569.1151922212","367.6041752469","201.5110169743","233.4677399672","324.2337545637","-90.7660145965","-96.9598731766","6.1938585800","145.4955143362","205.3402109904","-26.6019707629","-176.1045449435","149.5025741807","4.4601906734","10.9203255486","130.1149981143","0.0000000000","0.0000000000"
"625","23313","-1252.7999982963","0.0001396976","0.9747037860","3.4786362434","569.1191012228","366.0136996065","203.1054016163","231.8772643267","313.4851546943","-81.6078903676","-87.7590862218","6.1511958542","147.5453906225","192.7878475349","-26.8480834631","-180.6054920225","153.7574085594","4.4748326061","10.7372415148","132.3333165016","0.0000000000","0.0000000000"
"626","28965","-1252.8068545649","0.0001387431","0.9748425291","3.4827236897","569.1231886692","366.8044227708","202.3187658983","232.6679874911","307.1206992666","-74.4527117755","-80.6327097867","6.1799980112","145.5748559662","187.7553125563","-26.2094692559","-177.2763306448","151.0668613889","4.4734892138","11.2145220635","129.8868446888","0.0000000000","0.0000000000"
"627","9068","-1252.8071529092","0.0001387017","0.9749812309","3.4829015512","569.1233665307","365.9166783900","203.2066881407","231.7802431102","317.6817766172","-85.9015335069","-92.1653736914","6.2638401844","147.1911689953","197.9852604788","-27.4946528569","-180.0072331009","152.5125802440","4.4091429752","10.2087234445","132.5733025756","0.0000000000","0.0000000000"
"628","25234","-1252.8208968951","0.0001368085","0.9751180393","3.4910951925","569.1315601720","363.3483460060","205.7832141659","229.2119107263","294.5725952214","-65.3606844951","-71.4134332095","6.0527487144","147.7212848558","171.2389238336","-24.3876134681","-181.4886347145","157.1010212464","4.5563059080","10.4598457211","132.7051332266","0.0000000000","0.0000000000"
"629","3442","-1252.8214062706","0.0001367388","0.9752547781","3.4913988628","569.1318638422","367.6927008835","201.4391629588","233.5562656037","323.9562203126","-90.3999547089","-96.6741920324","6.2742373235","144.7869291339","204.8937208657","-25.7244296869","-176.7684582445","151.0440285575","4.5224401336","10.6164259607","129.6480630395","0.0000000000","0.0000000000"
"630","24165","-1252.8250283749","0.0001362444","0.9753910225","3.4935582235","569.1340232029","364.3399668163","204.7940563866","230.2035315366","305.0003406938","-74.7968091572","-80.8810031784","6.0841940212","146.9632908048","182.8656005273","-24.8285506383","-180.4370725312","155.6085218929","4.4915735905","10.4403923214","132.0313248929","0.0000000000","0.0000000000"
"631","22806","-1252.8298911878","0.0001355835","0.9755266060","3.4964572474","569.1369222269","366.5929197426","202.5440024843","232.4564844628","319.2111668751","-86.7546824123","-92.9779814832","6.2232990709","146.6863157109","200.6774383387","-28.1525871745","-180.1027452222","151.9501580477","4.3282797637","10.0975264346","132.2605095126","0.0000000000","0.0000000000"
"632","13975","-1252.8310066508","0.0001354323","0.9756620383","3.4971222440","569.1375872234","366.1592744606","202.9783127628","232.0228391809","319.0443726026","-87.0215334217","-93.2492488428","6.2277154210","146.9375860932","199.6179509748","-27.5111644653","-180.3372528652","152.8260883999","4.3774250361","10.1241730603","132.4359879968","0.0000000000","0.0000000000"
"633","10291","-1252.8427058023","0.0001338571","0.9757958955","3.5040968328","569.1445618122","368.0044698116","201.1400920007","233.8680345318","323.7984488826","-89.9304143507","-96.1863167082","6.2559023574","146.7696890372","203.1439289611","-26.1151691158","-177.1083807379","150.9932116221","4.4338069903","10.6505205788","131.6853614682","0.0000000000","0.0000000000"
"634","23457","-1252.8481908741","0.0001331249","0.9759290204","3.5073668238","569.1478318033","366.8888489732","202.2589828300","232.7524136935","317.6549167514","-84.9025030579","-91.1931094379","6.2906063800","148.3387051198","195.1294095739","-25.8131979423","-176.9725841644","151.1593862222","4.4095265370","9.9997442144","133.9294343684","0.0000000000","0.0000000000"
"635","27938","-1252.8489985777","0.0001330174","0.9760620378","3.5078483459","569.1483133254","364.2681608122","204.8801525132","230.1317255324","297.6462997709","-67.5145742385","-73.5186529345","6.0040786960","149.5845900704","175.7824108358","-27.7207011354","-183.0880713904","155.3673702550","4.4029996559","10.6010849509","134.5805054637","0.0000000000","0.0000000000"
"636","7668","-1252.8503461625","0.0001328383","0.9761948761","3.5086517247","569.1491167041","366.9103564549","202.2387602493","232.7739211752","316.7540315971","-83.9801104220","-90.2475482845","6.2674378625","148.2144435329","193.6010753330","-25.0614872688","-175.5795410163","150.5180537475","4.4279024785","10.2325225041","133.5540185504","0.0000000000","0.0000000000"
"637","22963","-1252.8561860090","0.0001320648","0.9763269409","3.5121332189","569.1525981983","366.3365585096","202.8160396887","232.2001232299","306.8824426303","-74.6823194004","-80.8125876128","6.1302682124","145.3775843602","187.0916876313","-25.5868293612","-177.1957561664","151.6089268053","4.3660725808","10.3455878883","130.6659238911","0.0000000000","0.0000000000"
"638","11800","-1252.8618132075","0.0001313237","0.9764582646","3.5154879404","569.1559529199","366.5847557750","202.5711971448","232.4483204953","318.6539087573","-86.2055882620","-92.4363398438","6.2307515818","146.7555487291","199.9911611357","-28.0928011075","-180.0726811296","151.9798800221","4.3378501360","10.1347654654","132.2829331277","0.0000000000","0.0000000000"
"639","25135","-1252.8640957750","0.0001310243","0.9765892889","3.5168487203","569.1573136997","367.1077029840","202.0496107157","232.9712677043","320.0001552933","-87.0288875891","-93.3124047256","6.2835171365","146.5532987179","199.2864042180","-25.8395476426","-178.2830236363","152.4434759936","4.4862525447","10.6525301262","131.4145160471","0.0000000000","0.0000000000"
"640","26697","-1252.8686755272","0.0001304256","0.9767197146","3.5195789942","569.1600439737","363.8592698596","205.3007741141","229.7228345799","297.4264141936","-67.7035796137","-73.7039386810","6.0003590672","147.2953520259","177.4620827974","-27.3310206298","-182.3349679098","155.0039472800","4.3600062193","10.1451914336","132.7901543730","0.0000000000","0.0000000000"
"641","25249","-1252.8692011601","0.0001303571","0.9768500717","3.5198923565","569.1603573360","363.5234174525","205.6369398835","229.3869821728","298.3724143097","-68.9869046639","-74.9896798580","6.0027751941","147.2378133681","178.6722693938","-27.5376684522","-184.6471015674","157.1094331152","4.3700336055","10.0284283889","132.8393513738","0.0000000000","0.0000000000"
"642","24354","-1252.8889543614","0.0001278074","0.9769778791","3.5316684632","569.1721334427","364.2740757766","204.8980576661","230.1376404969","304.4195143056","-74.2818738087","-80.4359059333","6.1540321246","147.2776377566","180.6192693913","-23.4773928424","-180.8151131943","157.3377203519","4.6294870672","11.1919954207","131.4561552688","0.0000000000","0.0000000000"
"643","15452","-1252.8896459156","0.0001277190","0.9771055981","3.5320807415","569.1725457210","366.5074043506","202.6651413703","232.3709690709","319.5642039421","-87.1932348712","-93.4086309127","6.2153960415","147.4078229767","200.4433496380","-28.2869686726","-180.1095980389","151.8226293663","4.3295723134","10.3903919511","132.6878587122","0.0000000000","0.0000000000"
"644","19937","-1252.8934497162","0.0001272341","0.9772328322","3.5343484226","569.1748134021","367.7767379468","201.3980754553","233.6403026670","318.0921159921","-84.4518133251","-90.8223237819","6.3705104568","146.4489154732","196.6759784761","-25.0327779571","-176.2481250156","151.2153470584","4.4647218149","10.3779359001","131.6062577582","0.0000000000","0.0000000000"
"645","4690","-1252.8966543280","0.0001268271","0.9773596593","3.5362588902","569.1767238697","364.4213531682","204.7553707014","230.2849178885","311.7542793675","-81.4693614790","-87.6623728182","6.1930113391","147.0311989172","191.0447157575","-26.3216353072","-182.3898262868","156.0681909796","4.4117916208","10.0967382187","132.5226690778","0.0000000000","0.0000000000"
"646","12719","-1252.8995005867","0.0001264666","0.9774861259","3.5379557213","569.1784207008","367.2840078585","201.8944128423","233.1475725788","321.5803657592","-88.4327931804","-94.7208651072","6.2880719267","146.5378094193","200.8605142212","-25.8179578814","-178.0778221607","152.2598642793","4.4818317556","10.6600144209","131.3959632428","0.0000000000","0.0000000000"
"647","30755","-1252.9009578258","0.0001262824","0.9776124083","3.5388244718","569.1792894512","364.6118433449","204.5674461064","230.4754080651","303.0239862443","-72.5485781791","-78.6316546783","6.0830764992","147.7171406459","182.2796856757","-26.9728400774","-180.2624140675","153.2895739901","4.3222253994","9.6341865076","133.7607287389","0.0000000000","0.0000000000"
"648","22147","-1252.9053308884","0.0001257314","0.9777381397","3.5414315253","569.1818965047","366.9536200432","202.2282764616","232.8171847634","302.7540234100","-69.9368386466","-75.9745454297","6.0377067831","149.1970544177","180.5529312142","-26.9959622218","-177.4274354779","150.4314732562","4.2223328686","9.4866311422","135.4880904068","0.0000000000","0.0000000000"
"649","23870","-1252.9150048985","0.0001245209","0.9778626607","3.5471988018","569.1876637813","365.2205926724","203.9670711089","231.0841573926","301.9620166962","-70.8778593035","-77.0820051113","6.2041458078","147.0929389514","176.2083264271","-21.3392486823","-176.0224109152","154.6831622329","4.5586373255","10.9495227609","131.5847788650","0.0000000000","0.0000000000"
"650","19983","-1252.9156320402","0.0001244429","0.9779871035","3.5475726798","569.1880376593","367.3998152905","201.7882223688","233.2633800108","326.5079857532","-93.2446057424","-99.5832050854","6.3385993430","145.9336353731","205.5110315646","-24.9366811845","-175.9989372376","151.0622560530","4.4616581874","10.1511582521","131.3208189336","0.0000000000","0.0000000000"
"651","29524","-1252.9198398434","0.0001239203","0.9781110239","3.5500812119","569.1905461914","363.4780503382","205.7124958532","229.3416150585","294.9247540733","-65.5831390148","-71.5417711248","5.9586321099","148.7714454499","172.2357716436","-26.0824630202","-182.1970757274","156.1146127071","4.3353611467","9.9403387341","134.4957455691","0.0000000000","0.0000000000"
"652","10511","-1252.9298540690","0.0001226856","0.9782337094","3.5560513120","569.1965162915","367.7397356156","201.4567806759","233.6033003358","328.2792038859","-94.6759035500","-100.9312920806","6.2553885305","145.7965791959","207.8790269823","-25.3964022924","-175.9438908877","150.5474885953","4.4541748153","9.9735023370","131.3689020436","0.0000000000","0.0000000000"
"653","28212","-1252.9339615254","0.0001221827","0.9783558921","3.5585000212","569.1989650007","364.4797550596","204.7192099411","230.3433197798","300.5335551502","-70.1902353704","-76.1573720063","5.9671366360","146.6393465912","181.9141150214","-28.0199064624","-182.7037943362","154.6838878738","4.2685792746","10.2869153040","132.0838520126","0.0000000000","0.0000000000"
"654","5451","-1252.9394588060","0.0001215128","0.9784774049","3.5617772907","569.2022422701","366.5789620702","202.6232801999","232.4425267905","312.4255884446","-79.9830616541","-86.0848790147","6.1018173606","146.2240986917","192.3246920756","-26.1232023227","-180.4336796218","154.3104772991","4.5549733572","10.4364114120","131.2327139225","0.0000000000","0.0000000000"
"655","25623","-1252.9471187509","0.0001205856","0.9785979905","3.5663438582","569.2068088377","363.3215500966","205.8852587411","229.1851148169","294.0011758031","-64.8160609862","-70.7700033593","5.9539423731","148.3174174840","173.3267207533","-27.6429624342","-184.6878355554","157.0448731212","4.3882064402","10.4018792191","133.5273318247","0.0000000000","0.0000000000"
"656","15559","-1252.9485077732","0.0001204182","0.9787184088","3.5671719404","569.2076369199","362.7133982340","206.4942386859","228.5769629542","300.1542281393","-71.5721030150","-77.6363394748","6.0642364598","148.6833802242","177.5694351633","-26.0985872482","-186.3730818620","160.2744946138","4.5672961839","10.9493351940","133.1667488463","0.0000000000","0.0000000000"
"657","24223","-1252.9515433392","0.0001200533","0.9788384620","3.5689816293","569.2094466088","364.4837026247","204.7257439841","230.3472673449","299.6579276348","-69.3106602899","-75.3971872698","6.0865269799","147.8778514529","175.7588669690","-23.9787907870","-180.1077305688","156.1289397817","4.5685684275","10.9422829289","132.3670000965","0.0000000000","0.0000000000"
"658","30287","-1252.9548311534","0.0001196592","0.9789581212","3.5709416990","569.2114066785","367.9024147457","201.3089919328","233.7659794659","308.0071114096","-74.2411319437","-80.3761571356","6.1350251919","146.2177703263","188.7512386509","-26.9618975676","-176.2789315670","149.3170339994","4.3715349802","10.4434600419","131.4027753042","0.0000000000","0.0000000000"
"659","29935","-1252.9553263668","0.0001195999","0.9790777211","3.5712369264","569.2117019058","365.0810472674","204.1306546384","230.9446119877","296.2941036499","-65.3494916623","-71.3630334672","6.0135418049","149.4979383693","171.7948489563","-24.9986836757","-179.5179027947","154.5192191190","4.3612205472","9.7879021362","135.3488156860","0.0000000000","0.0000000000"
"660","5359","-1252.9686494074","0.0001180171","0.9791957382","3.5791796161","569.2196445955","364.5310998381","204.6885447574","230.3946645583","301.1020290487","-70.7073644904","-76.7680540904","6.0606896000","147.9164121530","177.1704244156","-23.9848075198","-180.0265682727","156.0417607529","4.5737991891","10.9061683745","132.4364445893","0.0000000000","0.0000000000"
"661","15492","-1252.9745630096","0.0001173212","0.9793130595","3.5827050806","569.2231700600","365.9992061420","203.2239639181","231.8627708622","318.6308280494","-86.7680571872","-93.0060725692","6.2380153820","147.0164720281","198.7406325773","-27.1262765559","-180.9079085847","153.7816320288","4.4406029868","10.5910690722","131.9847999690","0.0000000000","0.0000000000"
"662","8055","-1252.9789449631","0.0001168083","0.9794298677","3.5853174344","569.2257824139","366.0319554220","203.1938269919","231.8955201422","319.2615521863","-87.3660320440","-93.4790506360","6.1130185919","145.8133764096","201.2857479886","-27.8375722119","-180.4559436230","152.6183714111","4.4248090582","10.1645664262","131.2240009253","0.0000000000","0.0000000000"
"663","25994","-1252.9795281253","0.0001167402","0.9795466079","3.5856650936","569.2261300730","367.0651130658","202.1610170073","232.9286777860","306.1213006054","-73.1926228194","-79.3602712959","6.1676484765","149.1243850213","183.2457211889","-26.2488056048","-178.2744803736","152.0256747688","4.3690899381","10.1373520683","134.6179430150","0.0000000000","0.0000000000"
