" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"866","5619","-1150.1449774901","0.0000649028","0.9942408830","3.3189449745","525.6007067347","367.4521213958","158.1485853390","256.5660015645","296.0911127168","-39.5251111523","-45.3369729313","5.8118617791","133.9582975229","173.0252494367","-10.8924342428","-147.0852771269","136.1928428841","5.0188358664","16.8203681006","112.1190935560","0.0000000000","0.0000000000"
"867","776","-1150.1469514002","0.0000647749","0.9943056579","3.3201217445","525.6018835048","367.1950421329","158.4068413719","256.3089223016","292.1074314092","-35.7985091075","-42.1505428961","6.3520337886","142.6459214777","154.4265308387","-4.9650209073","-137.4517536630","132.4867327557","4.6282862083","10.5189717066","127.4986635629","0.0000000000","0.0000000000"
"868","13217","-1150.1531542517","0.0000643743","0.9943700322","3.3238196485","525.6055814087","367.7915984954","157.8139829134","256.9054786641","298.8748078405","-41.9693291764","-48.0557511063","6.0864219299","138.0773628187","168.0374596224","-7.2400146006","-138.1726801716","130.9326655711","4.7051103945","12.0542361371","121.3180162871","0.0000000000","0.0000000000"
"869","3726","-1150.1556379143","0.0000642146","0.9944342468","3.3253003135","525.6070620738","364.6879314083","160.9191306655","253.8018115770","293.2618641436","-39.4600525666","-45.2450875717","5.7850350051","136.5882899788","169.2072706913","-12.5336965265","-154.6316900924","142.0979935659","5.1352921990","20.1709460251","111.2820517547","0.0000000000","0.0000000000"
"870","6385","-1150.1687099521","0.0000633807","0.9944976275","3.3330933649","525.6148551251","368.1250686094","157.4897865158","257.2389487781","298.6435486417","-41.4045998636","-47.2184555885","5.8138557250","133.6428752743","175.5175979843","-10.5169246170","-143.9244787932","133.4075541762","4.9691655972","14.9248469957","113.7488626814","0.0000000000","0.0000000000"
"871","7561","-1150.1738749240","0.0000630542","0.9945606817","3.3361725245","525.6179342848","367.2485419241","158.3693923607","256.3624220928","298.3550626564","-41.9926405635","-47.8989691436","5.9063285801","133.5038595769","174.6317118136","-9.7805087342","-143.2841906376","133.5036819034","5.0310321913","15.4089616273","113.0638657583","0.0000000000","0.0000000000"
"872","662","-1150.1819798425","0.0000625452","0.9946232268","3.3410043684","525.6227661287","367.2058748547","158.4168912739","256.3197550235","292.0310885457","-35.7113335222","-42.0571676910","6.3458341689","142.6500542621","154.3464471835","-4.9654128999","-137.4535436027","132.4881307028","4.6290237454","10.5223228386","127.4987076781","0.0000000000","0.0000000000"
"873","10980","-1150.1823753767","0.0000625204","0.9946857473","3.3412401709","525.6230019311","365.5186246197","160.1043773114","254.6325047885","288.6299298111","-33.9974250226","-39.7913940353","5.7939690126","137.6735001296","164.2773134191","-13.3208837375","-152.1881865938","138.8673028562","4.9533733024","19.3938608335","113.3262659936","0.0000000000","0.0000000000"
"874","11046","-1150.1961903802","0.0000616627","0.9947474099","3.3494761501","525.6312379104","366.5865189802","159.0447189302","255.7003991489","297.2014488842","-41.5010497352","-47.3560562484","5.8550065131","134.0539541079","172.8770965232","-9.7296017469","-145.3866412668","135.6570395199","5.0332104468","14.6888710975","114.3318725637","0.0000000000","0.0000000000"
"875","12888","-1150.1978414664","0.0000615609","0.9948089709","3.3504604649","525.6322222251","366.1920975852","159.4401246399","255.3059777539","295.6931855953","-40.3872078413","-46.1322212442","5.7450134028","135.4552718955","172.7584795335","-12.5205658337","-150.1893645775","137.6687987437","5.1605380952","18.8246520171","111.4700817832","0.0000000000","0.0000000000"
"876","4953","-1150.2037236205","0.0000611999","0.9948701707","3.3539671812","525.6357289414","366.4913417970","159.1443871444","255.6052219657","294.9328066952","-39.3275847295","-45.1742172444","5.8466325149","134.2013083376","170.6999296037","-9.9684312460","-145.8139548658","135.8455236198","5.0298506561","14.7623275991","114.4091300824","0.0000000000","0.0000000000"
"877","6366","-1150.2107434102","0.0000607718","0.9949309425","3.3581521126","525.6399138728","367.4551977510","158.1847161219","256.5690779197","294.5261811586","-37.9571032389","-43.7763110309","5.8192077920","134.4307672819","170.9667234017","-10.8713095250","-144.1549425618","133.2836330368","4.8692245849","15.8338366998","113.7277059972","0.0000000000","0.0000000000"
"878","10669","-1150.2111273817","0.0000607484","0.9949916910","3.3583810218","525.6401427821","367.2377307936","158.4024119885","256.3516109624","298.7659486386","-42.4143376763","-48.2756892377","5.8613515614","133.5003408825","175.4752099692","-10.2096022131","-144.6981470987","134.4885448857","5.0559553068","15.6795106214","112.7648749543","0.0000000000","0.0000000000"
"879","10362","-1150.2233631258","0.0000600097","0.9950517007","3.3656755067","525.6474372669","367.5074175706","158.1400196963","256.6212977394","294.2762221753","-37.6549244359","-43.5474111589","5.8924867230","133.1613694970","170.9976980948","-9.8828454165","-143.2710158370","133.3881704206","4.9263986426","15.0006119010","113.2343589534","0.0000000000","0.0000000000"
"880","768","-1150.2270092075","0.0000597913","0.9951114919","3.3678491618","525.6496109220","367.7236122643","157.9259986577","256.8374924331","294.6206190993","-37.7831266662","-43.7937724657","6.0106457995","140.1759698185","163.9309025177","-9.4862532370","-142.3312270945","132.8449738576","4.7513537320","12.9752225618","122.4493935248","0.0000000000","0.0000000000"
"881","10820","-1150.2271453057","0.0000597831","0.9951712751","3.3679302984","525.6496920586","367.0263629442","158.6233291145","256.1402431129","293.4155330142","-37.2752899013","-43.0103150096","5.7350251083","134.5402597678","171.2654763745","-12.3902031281","-147.7780910796","135.3878879516","5.0139804691","17.4791689274","112.0471103712","0.0000000000","0.0000000000"
"882","694","-1150.2303123074","0.0000595941","0.9952308692","3.3698183442","525.6515801045","367.1356371167","158.5159429878","256.2495172855","290.8680160297","-34.6184987442","-40.9305106949","6.3120119506","142.5373619433","153.2505734522","-4.9199193659","-138.0203392426","133.1004198768","4.6447155017","10.5371767776","127.3554696641","0.0000000000","0.0000000000"
"883","5612","-1150.2307545496","0.0000595678","0.9952904369","3.3700819922","525.6518437524","367.7515244170","157.9003193355","256.8654045857","301.4992688547","-44.6338642690","-50.7308654256","6.0970011565","138.1114263594","170.5806221271","-7.1927796318","-138.9304044810","131.7376248493","4.7600338770","12.2716503183","121.0797421641","0.0000000000","0.0000000000"
"884","2090","-1150.2343868604","0.0000593518","0.9953497887","3.3722474376","525.6540091979","367.5475512225","158.1064579753","256.6614313913","298.8637094242","-42.2022780329","-48.0971948789","5.8949168460","132.7787801762","175.9696537023","-9.8847244543","-143.1101086388","133.2253841846","4.9568829608","14.5569755890","113.2649216263","0.0000000000","0.0000000000"
"885","7499","-1150.2370220859","0.0000591956","0.9954089843","3.3738184587","525.6555802190","367.3721342989","158.2834459201","256.4860144676","296.7382012118","-40.2521867441","-46.0866769464","5.8344902023","133.3601638801","174.0094518091","-10.6314144774","-144.2600188060","133.6286043286","4.9649737399","15.4150084834","112.9801816568","0.0000000000","0.0000000000"
"886","12366","-1150.2383783957","0.0000591153","0.9954680996","3.3746270390","525.6563887992","367.2930242303","158.3633645689","256.4069043991","296.6608437368","-40.2539393377","-46.0864228633","5.8324835255","133.5474951929","173.5816608544","-10.4683123105","-144.0601754803","133.5918631698","4.9783738788","15.6105128051","112.9586085090","0.0000000000","0.0000000000"
"887","5776","-1150.2388055367","0.0000590901","0.9955271897","3.3748816842","525.6566434445","365.9146108449","159.7420325996","255.0284910137","294.5782121058","-39.5497210921","-45.3270015162","5.7772804241","135.8244471972","170.4169962922","-11.6632313836","-150.5364360060","138.8732046224","5.0996937748","18.0303260420","112.6944273804","0.0000000000","0.0000000000"
"888","3604","-1150.2473297511","0.0000585885","0.9955857783","3.3799634964","525.6617252566","367.4623946109","158.1993306457","256.5762747797","301.2390959386","-44.6628211589","-50.5340800457","5.8712588868","132.8984044571","178.3428670522","-10.0021755706","-143.9240604795","133.9218849089","4.9814350723","14.7230995286","113.1938698562","0.0000000000","0.0000000000"
"889","2729","-1150.2490577862","0.0000584874","0.9956442657","3.3809936851","525.6627554454","367.5577339530","158.1050214924","256.6716141218","294.2596317752","-37.5880176534","-43.4814078187","5.8933901653","133.1970085227","170.9744114788","-9.9117882263","-143.3654027092","133.4536144828","4.9266169166","15.0357441754","113.2346474308","0.0000000000","0.0000000000"
"890","1700","-1150.2500684590","0.0000584283","0.9957026940","3.3815962098","525.6633579700","366.9666268306","158.6967311394","256.0805069993","297.9065326491","-41.8260256498","-47.5949135862","5.7688879364","134.4835828952","175.2683754010","-11.8454256471","-149.0755328365","137.2301071894","5.1549114941","17.7553873115","111.5732840896","0.0000000000","0.0000000000"
"891","8482","-1150.2695347372","0.0000573019","0.9957599959","3.3932012638","525.6749630241","367.5946175760","158.0803454481","256.7084977447","294.4748358451","-37.7663381003","-43.7264053166","5.9600672163","136.4127967012","167.1450028867","-9.0829637428","-145.7895197181","136.7065559753","5.2404301253","15.9078047290","115.2645618469","0.0000000000","0.0000000000"
"892","11008","-1150.2763066584","0.0000569152","0.9958169111","3.3972384255","525.6790001857","367.3024752806","158.3765249052","256.4163554493","302.7034933076","-46.2871378583","-52.2065901580","5.9194522998","132.2907416919","179.7322176073","-9.3194659916","-143.8358383190","134.5163723274","5.1037930160","15.4614974361","111.7254512398","0.0000000000","0.0000000000"
"893","11563","-1150.2765772571","0.0000568998","0.9958738109","3.3973997461","525.6791615064","367.6603952381","158.0187662683","256.7742754069","301.5384085433","-44.7641548045","-50.5980770259","5.8339222214","133.4242779839","178.5314161352","-10.4172855758","-144.4866994511","134.0694138753","5.0519286341","15.7642711597","112.6080781901","0.0000000000","0.0000000000"
"894","8902","-1150.2774625087","0.0000568494","0.9959306603","3.3979274994","525.6796892597","365.4244670866","160.2552221730","254.5383472554","291.5350894808","-36.9967422254","-42.7731552060","5.7764129806","136.8108961538","167.7416861644","-13.0174928374","-153.9401962526","140.9227034151","5.0632539163","20.3591104320","111.3885318055","0.0000000000","0.0000000000"
"895","1165","-1150.2871175596","0.0000563032","0.9959869635","3.4036834732","525.6854452335","366.9859915302","158.6994537033","256.0998716990","291.1710154145","-35.0711437155","-41.3844866164","6.3133429009","141.6246463004","154.1603736751","-4.6140045610","-138.5730389334","133.9590343725","4.6912189548","10.8884733439","126.0449540017","0.0000000000","0.0000000000"
"896","7273","-1150.2895718342","0.0000561652","0.9960431287","3.4051466184","525.6869083786","364.7384263318","160.9484820469","253.8523065005","292.7202946293","-38.8679881288","-44.6796848430","5.8116967142","136.4145509988","168.5997287719","-12.2939851415","-154.3584164043","142.0644312628","5.1887967431","19.9583371702","111.2674170856","0.0000000000","0.0000000000"
"897","8890","-1150.2986440350","0.0000556579","0.9960987867","3.4105551191","525.6923168794","368.9083727045","156.7839441749","258.0222528732","297.5460537906","-39.5238009173","-45.4479067184","5.9241058011","138.6124964927","170.0677946153","-11.1342373174","-141.9590741370","130.8248368195","4.9084594707","15.9496419401","117.7543950819","0.0000000000","0.0000000000"
"898","1443","-1150.2988652630","0.0000556456","0.9961544323","3.4106870069","525.6924487671","366.1708090325","159.5216397346","255.2846892013","293.9018400560","-38.6171508547","-44.3966167972","5.7794659426","136.6204597856","169.0442786186","-11.7628983483","-151.3972498422","139.6343514939","5.1739065024","18.2884082454","113.1581450378","0.0000000000","0.0000000000"
"899","5900","-1150.3016689628","0.0000554898","0.9962099221","3.4123584660","525.6941202262","366.5375150789","159.1566051473","255.6513952476","296.3606369487","-40.7092417010","-46.5153646183","5.8061229173","134.3809573140","172.1495728687","-10.1698932340","-146.1460515782","135.9761583442","4.9885235129","14.8086832835","114.5837505176","0.0000000000","0.0000000000"
"900","9373","-1150.3098050158","0.0000550402","0.9962649623","3.4172088710","525.6989706313","367.3038629274","158.3951077039","256.4177430962","299.5917505707","-43.1740074745","-49.0378989987","5.8638915242","133.5187857280","176.3025117318","-10.2295468891","-144.7175477964","134.4880009073","5.0589028484","15.7084650363","112.7514178433","0.0000000000","0.0000000000"
"901","12580","-1150.3125737361","0.0000548880","0.9963198504","3.4188594767","525.7006212370","368.0759076184","157.6247136185","257.1897877872","296.1010219719","-38.9112341847","-44.9881091403","6.0768749556","138.4760099703","164.5079447129","-6.8829327113","-138.4437854359","131.5608527246","4.7829843570","12.4961020301","121.1969235832","0.0000000000","0.0000000000"
"902","2606","-1150.3129631306","0.0000548667","0.9963747170","3.4190916189","525.7008533791","367.6211881537","158.0796652254","256.7350683225","296.1110141490","-39.3759458265","-45.2225742814","5.8466284549","132.3977972442","174.0843497398","-10.3711328351","-144.2683573144","133.8972244794","5.0508812377","16.2222245668","111.1246914396","0.0000000000","0.0000000000"
"903","10602","-1150.3537186829","0.0000526755","0.9964273925","3.4433885277","525.7251502880","367.1310954221","158.5940548659","256.2449755908","295.7745290452","-39.5295534544","-45.3874055299","5.8578520754","133.1006087463","172.7568864194","-10.0829661204","-143.9157721039","133.8328059835","4.9453867938","15.4509751984","112.7042467541","0.0000000000","0.0000000000"
"904","11018","-1150.3577234806","0.0000524650","0.9964798575","3.4457760357","525.7275377960","368.9142602536","156.8132775424","258.0281404224","300.1610330536","-42.1328926313","-48.2685170849","6.1356244536","138.5283923456","169.0859789487","-7.4533382407","-137.4683449857","130.0150067450","4.6392462097","12.1073687890","121.7817773469","0.0000000000","0.0000000000"
"905","11966","-1150.3720234809","0.0000517200","0.9965315775","3.4543011516","525.7360629118","368.1276451397","157.6084177721","257.2415253085","290.0101586806","-32.7686333721","-39.0197023883","6.2510690162","143.6016494082","152.4722068958","-6.0636976233","-138.3283840681","132.2646864448","4.5510002438","10.4571011186","128.5935480458","0.0000000000","0.0000000000"
"906","4886","-1150.3752431039","0.0000515538","0.9965831313","3.4562205683","525.7379823285","367.7908878048","157.9470945237","256.9047679736","297.7775329141","-40.8727649405","-46.7587808422","5.8860159017","133.7125685554","174.1398185946","-10.0748542359","-144.2199042584","134.1450500225","4.9911110156","15.2712983078","113.4501592319","0.0000000000","0.0000000000"
"907","12962","-1150.3775386665","0.0000514356","0.9966345669","3.4575890953","525.7393508555","366.8528585616","158.8864922939","255.9667387304","295.5991628099","-39.6324240796","-45.4911996479","5.8587755684","133.4629451062","172.3305680326","-10.1943503288","-144.3542543124","134.1599039836","5.0177889445","15.2977367581","113.1474194036","0.0000000000","0.0000000000"
"908","9727","-1150.3889343516","0.0000508528","0.9966854197","3.4643827689","525.7461445292","367.7412635777","158.0048809515","256.8551437465","297.4416634320","-40.5865196855","-46.4026286053","5.8161089198","133.8694751592","173.9955614819","-10.4233732091","-143.8155271981","133.3921539890","4.9220138019","15.3143442815","113.6331170758","0.0000000000","0.0000000000"
"909","8131","-1150.3970332601","0.0000504426","0.9967358622","3.4692110299","525.7509727902","367.0506328565","158.7003399337","256.1645130253","293.7818152239","-37.6173021986","-43.4266115046","5.8093093060","135.3642312134","170.5557400579","-12.1381560474","-148.7792117696","136.6410557221","4.9567377899","17.7418415699","112.6656518535","0.0000000000","0.0000000000"
"910","13173","-1150.4009862836","0.0000502436","0.9967861058","3.4715676720","525.7533294323","367.9720710674","157.7812583649","257.0859512361","299.7416155254","-42.6556642893","-48.7516521353","6.0959878460","138.0312561049","168.8698675866","-7.1595081661","-138.0139332973","130.8544251311","4.7069280477","12.0053381525","121.3189899047","0.0000000000","0.0000000000"
"911","974","-1150.4021884220","0.0000501832","0.9968362890","3.4722843412","525.7540461015","367.3063481344","158.4476979671","256.4202283031","289.9116958136","-33.4914675105","-39.7786467411","6.2871792307","143.2596983896","151.6154272858","-4.9634298619","-138.3315724354","133.3681425735","4.6394660682","10.8079521254","127.8122801960","0.0000000000","0.0000000000"
"912","1344","-1150.4272687331","0.0000489403","0.9968852293","3.4872362680","525.7689980282","366.6999505832","159.0690474450","255.8138307520","294.7349382516","-38.9211074996","-44.7867317926","5.8656242930","134.0424954060","170.3494058629","-9.6569630173","-144.8167835303","135.1598205130","5.0018464515","14.6144371041","114.4262118504","0.0000000000","0.0000000000"
"913","5375","-1150.4279725341","0.0000489058","0.9969341351","3.4876558473","525.7694176076","367.4819301583","158.2874874493","256.5958103270","291.0685423575","-34.4727320305","-40.5808572210","6.1081251905","139.4167606614","157.2369200287","-5.5851383327","-139.3452007041","133.7600623714","4.9219768357","12.9401934491","121.5545903766","0.0000000000","0.0000000000"
"914","5121","-1150.4366551261","0.0000484830","0.9969826181","3.4928320782","525.7745938385","366.1469206020","159.6276732365","255.2608007707","290.5236057041","-35.2628049334","-41.0006211168","5.7378161834","135.5737404372","168.0526900231","-13.1028247562","-152.1600310722","139.0572063160","5.0272835586","19.5852577250","110.9611991536","0.0000000000","0.0000000000"
"915","2992","-1150.4674077961","0.0000470147","0.9970296329","3.5111656495","525.7929274097","368.1388033004","157.6541241093","257.2526834692","300.6212710420","-43.3685875728","-49.2755245708","5.9069369980","132.8073155500","177.6534334071","-9.8394779152","-144.1456308002","134.3061528850","5.0890755066","14.8918273837","112.8264126598","0.0000000000","0.0000000000"
"916","12725","-1150.4697744133","0.0000469036","0.9970765365","3.5125765365","525.7943382968","366.3481429738","159.4461953230","255.4620231426","297.6986100160","-42.2365868734","-48.0002060789","5.7636192054","135.8532857333","173.7232636702","-11.8779393875","-150.1906804818","138.3127410943","5.2790875729","19.1071974488","111.4670007116","0.0000000000","0.0000000000"
"917","2084","-1150.4773028083","0.0000465518","0.9971230883","3.5170646791","525.7988264393","367.2932823783","158.5055440610","256.4071625471","298.2014450790","-41.7942825319","-47.5976644036","5.8033818717","134.2829018814","176.0172044492","-12.0986612517","-148.8596943337","136.7610330821","5.0812689353","17.6959757281","111.5056572181","0.0000000000","0.0000000000"
"918","12726","-1150.4812142551","0.0000463701","0.9971694584","3.5193965347","525.8011582950","366.3956619429","159.4054963521","255.5095421117","300.3229835920","-44.8134414803","-50.6047518778","5.7913103974","134.3711720674","177.8831148948","-11.9313033701","-150.3990351967","138.4677318265","5.2576339597","18.9617280876","110.1518100201","0.0000000000","0.0000000000"
"919","8812","-1150.4843879483","0.0000462232","0.9972156816","3.5212885698","525.8030503301","367.5641873082","158.2388630219","256.6780674770","303.9056042087","-47.2275367318","-53.1690290432","5.9414923114","132.0115988671","180.9481166670","-9.0541113254","-143.5254378524","134.4713265270","5.2088141793","15.3804936263","111.4222910615","0.0000000000","0.0000000000"
"920","10630","-1150.4852467583","0.0000461835","0.9972618650","3.5218005597","525.8035623199","367.1012861682","158.7022761517","256.2151663370","297.6041170411","-41.3889507041","-47.2647678896","5.8758171855","133.4360095407","174.1353612614","-9.9672537611","-145.1045716102","135.1373178491","5.0586958562","15.5103828002","112.8669308844","0.0000000000","0.0000000000"
"921","10256","-1150.4852582280","0.0000461830","0.9973080480","3.5218073974","525.8035691577","368.5170550009","157.2865141568","257.6309351697","291.3027967528","-33.6718615832","-39.6455729467","5.9737113636","141.6795262560","157.9853950200","-8.3621245231","-142.6235113312","134.2613868081","4.7905523878","14.1975005528","122.6914733154","0.0000000000","0.0000000000"
"922","11894","-1150.4872266615","0.0000460921","0.9973541401","3.5229809026","525.8047426628","367.2378431293","158.5668995335","256.3517232980","295.4681310529","-39.1164077549","-44.9921100632","5.8757023083","133.0957940000","172.4413024269","-10.0689653741","-143.8462349629","133.7772695889","4.9451838386","15.4020988213","112.7485113402","0.0000000000","0.0000000000"
"923","811","-1150.5034856186","0.0000453488","0.9973994889","3.5326738739","525.8144356342","367.1461317956","158.6683038385","256.2600119644","291.7748604801","-35.5148485157","-41.8314377680","6.3165892523","141.4390955414","154.9671196982","-4.6313547595","-138.5157274641","133.8843727046","4.6924477368","10.8979817816","125.8486660231","0.0000000000","0.0000000000"
"924","6499","-1150.5078253949","0.0000451524","0.9974446413","3.5352610833","525.8170228436","367.0805295553","158.7364932883","256.1944097240","293.6459152964","-37.4515055723","-43.2529290298","5.8014234575","134.2032084818","170.4767686782","-11.0340618636","-147.1894213908","136.1553595272","4.9945457111","16.3337825296","112.8748802411","0.0000000000","0.0000000000"
"925","12051","-1150.5085613686","0.0000451192","0.9974897605","3.5356998428","525.8174616031","367.5668794103","158.2505821928","256.6807595790","292.6009762469","-35.9202166679","-41.7254814748","5.8052648069","133.8780323863","170.0286439641","-11.3057001034","-146.0252354343","134.7195353310","4.9467712403","16.0964607161","112.8348004299","0.0000000000","0.0000000000"
"926","7880","-1150.5302068584","0.0000441531","0.9975339135","3.5486040599","525.8303658201","366.7121770905","159.1181887297","255.8260572592","296.9226560845","-41.0954923101","-46.8262272931","5.7307349830","134.4398008141","174.8313356774","-12.3484804070","-149.8740649123","137.5255845053","5.2734391395","18.7744291169","110.3919325576","0.0000000000","0.0000000000"
"927","3517","-1150.5411544330","0.0000436723","0.9975775859","3.5551305872","525.8368923474","366.5758115864","159.2610807610","255.6896917552","293.1736587743","-37.4839670191","-43.2907476105","5.8067805914","134.3150046967","168.8870847108","-10.0284306332","-145.6422152623","135.6137846291","4.9644508361","14.7375588819","114.6129949787","0.0000000000","0.0000000000"
"928","11062","-1150.5438621511","0.0000435542","0.9976211401","3.5567448256","525.8385065859","368.0971304550","157.7413761308","257.2110106238","299.7129548055","-42.5019441817","-48.3312376012","5.8292934195","132.5014993505","177.5055553357","-10.2940998807","-144.3085522493","134.0144523685","5.0578677409","15.8152813517","111.6283502579","0.0000000000","0.0000000000"
"929","11964","-1150.5631831549","0.0000427208","0.9976638609","3.5682632726","525.8500250329","367.8625376896","157.9874873433","256.9764178583","300.1987857515","-43.2223678932","-49.1222158380","5.8998479448","133.6032575725","176.4294367845","-9.8339086055","-144.1547360706","134.3208274652","5.0319681646","14.7611408208","113.8101485871","0.0000000000","0.0000000000"
"930","2047","-1150.5735125961","0.0000422818","0.9977061427","3.5744212923","525.8561830525","367.4128927153","158.4432903372","256.5267728841","295.1471808112","-38.6204079272","-44.3759864438","5.7555785166","135.2254479086","172.6150648095","-12.6933319068","-150.2129888485","137.5196569416","5.0714357179","18.7036697363","111.4503424544","0.0000000000","0.0000000000"
"931","9751","-1150.5833498393","0.0000418679","0.9977480106","3.5802858822","525.8620476425","368.2276129259","157.6344347165","257.3414930947","296.9294977604","-39.5880046657","-45.4605692570","5.8725645913","133.4644283226","173.3879935204","-9.9229240826","-142.0601549675","132.1372308850","4.9280621853","15.0142969891","113.5220691482","0.0000000000","0.0000000000"
"932","9981","-1150.5853536443","0.0000417841","0.9977897946","3.5814804745","525.8632422347","366.0251834459","159.8380587888","255.1390636146","292.1633505643","-37.0242869496","-42.7487189330","5.7244319834","137.1212381941","168.4051495996","-13.3630372294","-152.7377107648","139.3746735355","4.9769431004","19.0103762730","113.1339188207","0.0000000000","0.0000000000"
"933","932","-1150.5854995112","0.0000417780","0.9978315726","3.5815674347","525.8633291950","367.1114804666","158.7518487284","256.2253606354","299.3008133388","-43.0754527034","-48.9320653625","5.8566126591","133.0921074576","175.9080548275","-9.6993489462","-145.5755350604","135.8761861142","5.1400711232","15.5590586731","112.3929776612","0.0000000000","0.0000000000"
"934","8184","-1150.5878587592","0.0000416795","0.9978732521","3.5829739286","525.8647356889","366.8297974436","159.0349382452","255.9436776124","297.3406582556","-41.3969806432","-47.1303816832","5.7334010401","134.1447252354","175.4877702436","-12.2918372235","-149.5910416997","137.2992044762","5.2562143839","18.8831488583","110.0053619932","0.0000000000","0.0000000000"
"935","8044","-1150.5966510452","0.0000413147","0.9979145668","3.5882155549","525.8699773151","366.6189314932","159.2510458220","255.7328116619","293.4446905156","-37.7118788537","-43.5324431017","5.8205642480","134.3188194806","169.1498890460","-10.0240180109","-145.6002967339","135.5762787230","4.9623404276","14.7192543970","114.6372246559","0.0000000000","0.0000000000"
"936","10058","-1150.6194126850","0.0000403849","0.9979549517","3.6017851781","525.8835469383","368.1145405914","157.7690063469","257.2284207601","291.1925580756","-33.9641373154","-39.8327850058","5.8686476903","140.0481158728","164.2166595770","-13.0722173743","-144.2797073180","131.2074899437","4.6386601731","14.3809213652","121.0285343345","0.0000000000","0.0000000000"
"937","9882","-1150.6283371816","0.0000400261","0.9979949778","3.6071056232","525.8888673835","364.9408138223","160.9480535612","254.0546939911","291.3125797171","-37.2576972639","-42.9917780977","5.7340808338","136.4622566716","167.3811455641","-12.5308225186","-154.1900757978","141.6592532792","5.1109000885","20.1961377526","111.1552188305","0.0000000000","0.0000000000"
"938","5641","-1150.6330131688","0.0000398394","0.9980348172","3.6098932688","525.8916550290","366.0871637454","159.8044912836","255.2010439142","292.4719160285","-37.2708721143","-43.0029706080","5.7320984937","136.1376324890","169.3875994985","-13.0533159590","-152.8011285418","139.7478125828","5.1186565427","19.7795153358","111.2394606105","0.0000000000","0.0000000000"
"939","5915","-1150.6343308013","0.0000397869","0.9980746041","3.6106787911","525.8924405514","368.5155305545","157.3769099969","257.6294107232","294.7794639854","-37.1500532622","-43.0327724489","5.8827191867","140.1592285561","165.5841784134","-10.9639429842","-142.9205490889","131.9566061047","4.8086029368","16.1616330727","119.1889925466","0.0000000000","0.0000000000"
"940","818","-1150.6381238002","0.0000396363","0.9981142404","3.6129400327","525.8947017929","367.2379154900","158.6567863029","256.3517956587","297.2745726835","-40.9227770247","-46.7945783891","5.8718013644","132.8682988796","174.2856128982","-9.8793390943","-143.7485134739","133.8691743796","5.0247877491","15.4311861865","112.4123249439","0.0000000000","0.0000000000"
"941","6285","-1150.6496004230","0.0000391840","0.9981534244","3.6197819584","525.9015437186","368.3434536935","157.5580900251","257.4573338622","294.7914123747","-37.3340785125","-43.2902571765","5.9561786640","137.2357706961","169.8626170584","-12.3069753797","-142.4767848901","130.1698095104","4.7077443683","14.8087574913","117.7192688364","0.0000000000","0.0000000000"
"942","1651","-1150.6563682773","0.0000389197","0.9981923441","3.6238166955","525.9055784557","367.3667534927","158.5388249630","256.4806336615","294.9594150733","-38.4787814118","-44.4667500701","5.9879686583","138.1831566281","166.3153426328","-9.5390841877","-144.4759018864","134.9368176988","5.0324395322","14.7330222078","118.4176948881","0.0000000000","0.0000000000"
"943","6322","-1150.6567302943","0.0000389056","0.9982312497","3.6240325162","525.9057942765","367.8633003779","158.0424938986","256.9771805466","298.4697085904","-41.4925280438","-47.3886389562","5.8961109125","132.6941466393","175.4334459148","-9.6578839636","-143.5555219426","133.8976379790","4.9798767841","15.2375851455","112.4766847096","0.0000000000","0.0000000000"
"944","2538","-1150.6839011047","0.0000378628","0.9982691125","3.6402307191","525.9219924794","368.1991675579","157.7228249215","257.3130477266","300.1251255174","-42.8120777907","-48.7198456457","5.9077678550","132.9053752691","176.9016974129","-9.6819471647","-143.1060786806","133.4241315160","4.9775809096","14.6604947986","113.2672995609","0.0000000000","0.0000000000"
